id;sexe;age;resident_state;phone;artist_name;categorie;other_music_type;event_participation;event_participation_name;experience_time
1;connecting Romania;17681;Automated navigate Wooden;24671;Data SCSI Credit Card Account;SLAM;transition THX;false;quantifying hacking;20613
2;Communications;48314;Cambridgeshire clicks-and-mortar Tools;28177;bluetooth relationships;SLAM;scalable Generic copy;false;lime Digitized Shoes;51783
3;Money Market Account;91863;Dynamic;4004;compressing;CHANT;Functionality;false;multi-byte transform Trinidad and Tobago;44121
4;Rubber disintermediate Maine;80860;application Buckinghamshire;36150;Investor user-centric;SLAM;invoice El Salvador Avon;false;platforms Florida;46355
5;index Route;37411;ivory;17660;bi-directional;HIPHOP;pixel mindshare;true;Romania Health Steel;58548
6;quantify Checking Account;47810;Incredible policy Mississippi;93589;Bike deposit;SLAM;contextually-based;false;Facilitator Principal Practical;88045
7;Licensed Wooden Towels;53114;Assistant;58573;hacking Auto Loan Account HDD;DANCE;Regional Alaska;false;Cambridgeshire Kids cross-platform;83930
8;Awesome Cotton Car SMTP;98459;SCSI;10779;Washington;CHANT;Unbranded Steel Chips;false;solid state Point;64441
9;open-source;72287;Director Configuration Money Market Account;15504;JSON;DANCE;reciprocal Implementation;true;payment solid state;74397
10;Wisconsin collaboration payment;43992;Pakistan;33485;Texas bypassing;DANCE;sensor panel;false;Harbors;32827
